Country,Under $1.9,Under $3.2,Under $5.5,Continent
Uganda,41.7,69.9,87.8,Africa
Ukraine,0.1,0.5,6.4,Europe
United Kingdom,0.2,0.2,0.7,Europe
United States,1.2,1.5,2,North America
Uruguay,0.1,0.4,2.9,South America
Uzbekistan,62.1,86.4,96.4,Asia
Vanuatu,13.1,39.2,72.3,Oceania
Venezuela,10.2,17.8,35.6,South America
Vietnam,2,8.4,29,Asia
Yemen,18.8,52.2,81.6,Asia
Zambia,57.5,74.3,87.2,Africa
Zimbabwe,21.4,47.2,74,Africa
